date,magic-internet-money
2021-07-01,1.0021172678427221
2021-07-02,1.0021172678427221
2021-07-03,1.0060194119404577
2021-07-04,0.9955762936152612
2021-07-05,0.9985926002963542
2021-07-06,0.9931602259582395
2021-07-07,0.9932566866106689
2021-07-08,0.9948483647222254
2021-07-09,0.9906485093170821
2021-07-10,1.0090488933603003
2021-07-11,1.0051579802975648
2021-07-12,0.998724579463135
2021-07-13,1.0069223938464602
2021-07-14,1.0037868754754709
2021-07-15,1.0043446296426388
2021-07-16,1.0052181078479756
2021-07-17,0.9938849610934146
2021-07-18,0.9953593479933216
2021-07-19,0.9949741537094269
2021-07-20,1.0007735259334103
2021-07-21,0.9987800509214496
2021-07-22,0.9992547540789409
2021-07-23,1.0025413341156781
2021-07-24,0.9999344836496071
2021-07-25,0.996810202045338
2021-07-26,1.0059192896120412
2021-07-27,0.9866651068485134
2021-07-28,0.9942692195909465
2021-07-29,0.9884137876092491
2021-07-30,0.9961719413186925
2021-07-31,0.9919931437431152
2021-08-01,0.9899444030610188
2021-08-02,0.9765695535791206
2021-08-03,0.9819042485390712
2021-08-04,0.9863069896194708
2021-08-05,0.9762817273072459
2021-08-06,0.9808667754954513
2021-08-07,0.9858446673595253
2021-08-08,0.98539448110107
2021-08-09,0.9753942177931968
2021-08-10,0.9800689040266946
2021-08-11,0.9760130594223243
2021-08-12,0.9774583810510389
2021-08-13,0.9934848654368256
2021-08-14,0.9942056774038047
2021-08-15,0.9925779953401301
2021-08-16,0.991060980306559
2021-08-17,0.9901245945785265
2021-08-18,0.9950999529752678
2021-08-19,0.9980861073569413
2021-08-20,0.9983673832394374
2021-08-21,0.998350735939924
2021-08-22,0.9966663739631817
2021-08-23,0.9904345310186531
2021-08-24,0.989664351875185
2021-08-25,0.9890101406733457
2021-08-26,0.9922470018562772
2021-08-27,1.0011263959719576
2021-08-28,1.0030659385668639
2021-08-29,1.0002684036082108
2021-08-30,0.9989149171827321
2021-08-31,0.9962544762281555
2021-09-01,1.0058416699527497
2021-09-02,1.0045490776452146
2021-09-03,1.0028750627215208
2021-09-04,1.0057883822750084
2021-09-05,1.0026902830328115
2021-09-06,1.0011364782046916
2021-09-07,1.0045446277075707
2021-09-08,1.0058511361048257
2021-09-09,0.9990081956663981
2021-09-10,1.0024078556594354
2021-09-11,1.0008677937102115
2021-09-12,1.0005563345369628
2021-09-13,1.0006095332862863
2021-09-14,1.002657533962755
2021-09-15,1.0025734635752908
2021-09-16,1.0004799514208669
2021-09-17,1.004233306034239
2021-09-18,1.0067084754509652
2021-09-19,1.0050211756670293
2021-09-20,1.003152106739167
2021-09-21,0.9920488678452514
2021-09-22,0.9941420537362214
2021-09-23,1.0007122719874608
2021-09-24,1.00419074932358
2021-09-25,0.9993371590882051
2021-09-26,1.0042224071771588
2021-09-27,1.004419147117996
2021-09-28,0.9984380239035614
2021-09-29,0.9890649083661165
2021-09-30,1.0053294571400817
2021-10-01,1.004953774721785
2021-10-02,1.0023436247275377
2021-10-03,0.9985428319496733
2021-10-04,1.002044266517646
2021-10-05,1.0027934485740804
2021-10-06,1.0051285194091872
2021-10-07,1.0028039325817635
2021-10-08,1.005951762804718
2021-10-09,1.0081554426754895
2021-10-10,1.0055024120720408
2021-10-11,1.0052528706437007
2021-10-12,1.0083373779761626
2021-10-13,1.005577039787963
2021-10-14,1.0091758451188217
2021-10-15,1.0015465341596141
2021-10-16,1.0031172790617067
2021-10-17,1.0048922975569918
2021-10-18,1.0087307249259527
2021-10-19,1.0021207051722034
2021-10-20,1.0037653966969329
2021-10-21,1.0000982567821823
2021-10-22,1.0023658421483526
2021-10-23,1.0102167837720557
2021-10-24,1.0093135398211068
2021-10-25,1.0028623813593331
2021-10-26,1.0053082826951723
2021-10-27,1.004577907720482
2021-10-28,1.000262550457968
2021-10-29,1.0037307575418395
2021-10-30,1.002134531191185
2021-10-31,1.0026071798334952
2021-11-01,1.0015202558101122
2021-11-02,1.0027186852350156
2021-11-03,1.0126449661034664
2021-11-04,1.0051004074642282
2021-11-05,1.005012442908334
2021-11-06,1.0073130809654331
2021-11-07,1.0072745221124346
2021-11-08,1.0091159134521328
2021-11-09,1.0043757984713075
2021-11-10,0.9967944921895885
2021-11-11,1.0025527464857118
2021-11-12,1.0023444725925739
2021-11-13,1.008997952230511
2021-11-14,1.0050139240615283
2021-11-15,1.0116267345838055
2021-11-16,1.0036737270664784
2021-11-17,0.9981511624988533
2021-11-18,1.0085053128116739
2021-11-19,1.0005360780004593
2021-11-20,1.006840687959653
2021-11-21,1.0090336792454198
2021-11-22,1.0086073623887837
2021-11-23,0.9978836856463528
2021-11-24,1.004023256630011
2021-11-25,1.0023273830527444
2021-11-26,0.998930733701466
2021-11-27,0.9999968701630382
2021-11-28,0.9962005023638877
2021-11-29,1.000270841373484
2021-11-30,1.0022197919091635
2021-12-01,1.0005471140263886
2021-12-02,1.001961265153082
2021-12-03,1.0000233563866523
2021-12-04,1.0021001185589284
2021-12-05,0.99696013911211
2021-12-06,1.0019994571694772
2021-12-07,1.004577455248526
2021-12-08,1.0054401035630662
2021-12-09,1.0032990836214968
2021-12-10,1.0027241629558656
2021-12-11,1.0013666437526971
2021-12-12,1.003054761645454
2021-12-13,1.00210289209724
2021-12-14,0.9969631070911762
2021-12-15,1.0028685847712635
2021-12-16,1.0007638508187224
2021-12-17,1.0019436190816708
2021-12-18,1.001986935911723
2021-12-19,1.003059615129125
2021-12-20,0.9967367584200474
2021-12-21,1.0051795525692848
2021-12-22,1.0043064048140644
2021-12-23,1.0022773578972037
2021-12-24,1.0027830133002853
2021-12-25,1.0015793148718346
2021-12-26,1.0023220284672891
2021-12-27,1.0003195738974089
2021-12-28,0.9974702671857822
2021-12-29,0.9943315878648835
2021-12-30,0.9969693125056275
2021-12-31,1.0036536596025267
2022-01-01,0.9966361824764953
2022-01-02,1.0043033765207448
2022-01-03,1.0016130725012002
2022-01-04,1.0015622229301206
2022-01-05,1.0001292970907434
2022-01-06,0.9998012396594891
2022-01-07,1.00338826337809
2022-01-08,1.0045290798029822
2022-01-09,0.9960745695392551
2022-01-10,1.0017113429903717
2022-01-11,1.0018559796165771
2022-01-12,1.0014636214474562
2022-01-13,0.9992248419930363
2022-01-14,1.0022270349827076
2022-01-15,1.0001624659011417
2022-01-16,1.001091265429823
2022-01-17,0.9987834692119291
2022-01-18,1.002664567659003
2022-01-19,1.0024775709149594
2022-01-20,1.00067416167949
2022-01-21,0.9997381300982605
2022-01-22,1.0021042815607182
2022-01-23,1.0051071213547835
2022-01-24,1.000254348711996
2022-01-25,1.0033193594242724
2022-01-26,1.0039602519971471
2022-01-27,1.0026382961494744
2022-01-28,0.989424328406827
2022-01-29,0.989085731366425
2022-01-30,0.9954072391625333
2022-01-31,0.9903197269658157
2022-02-01,0.9912839628788117
2022-02-02,0.9981494025108715
2022-02-03,0.99645628175773
2022-02-04,0.9994118321638917
2022-02-05,1.0012717056907086
2022-02-06,0.9970180929830079
2022-02-07,1.0018509769423785
2022-02-08,0.9971210834524169
2022-02-09,1.0000482357579465
2022-02-10,1.0009333231723903
2022-02-11,0.9978528682280866
2022-02-12,0.9968418994425989
2022-02-13,0.998972846188592
2022-02-14,0.9987768713017826
2022-02-15,0.9971702885708784
2022-02-16,0.9986693233155831
2022-02-17,0.9953366355253445
2022-02-18,0.9969879580562451
2022-02-19,0.9977731840774289
2022-02-20,1.0006987757278478
2022-02-21,0.9949205445018026
2022-02-22,0.991134914546566
2022-02-23,0.9987546253398082
2022-02-24,0.9959703203265554
2022-02-25,0.9992854451640131
2022-02-26,1.0000878755312377
2022-02-27,1.0013195144702316
2022-02-28,1.0018133070962496
2022-03-01,1.0014101494812355
2022-03-02,1.0017450787431954
2022-03-03,0.9971405224350364
2022-03-04,0.9977868357060949
2022-03-05,0.9990239463526391
2022-03-06,0.999244660249824
2022-03-07,1.0003279735766495
2022-03-08,0.996506066511174
2022-03-09,0.9958344566895172
2022-03-10,1.0008834347767583
2022-03-11,0.9972610219218365
2022-03-12,0.9963050114823784
2022-03-13,0.9965170584553331
2022-03-14,1.0006385230119257
2022-03-15,0.997640583103328
2022-03-16,0.9959982970383523
2022-03-17,0.997632450741551
2022-03-18,0.9990250771326648
2022-03-19,0.9985344604367049
2022-03-20,0.9981600972955003
2022-03-21,0.9969799783212594
2022-03-22,0.9970058570006002
2022-03-23,0.9940054763138932
2022-03-24,0.9945285022467188
2022-03-25,0.9857277875557491
2022-03-26,0.989628872278921
2022-03-27,0.9882958430196357
2022-03-28,0.9876479250394236
2022-03-29,0.9903270280959731
2022-03-30,0.9898139870006444
2022-03-31,0.9906735684434804
2022-04-01,0.9979642348437184
2022-04-02,0.9978666482411285
2022-04-03,0.9968440433432941
2022-04-04,0.9973880409238295
2022-04-05,0.9962139329495004
2022-04-06,0.999827002362985
2022-04-07,0.9994230062182453
2022-04-08,0.9986876432392258
2022-04-09,1.0000019728985257
2022-04-10,1.000141269650087
2022-04-11,0.9988306319197506
2022-04-12,0.9995099673288674
2022-04-13,1.0029339142588314
2022-04-14,1.0000534381962045
2022-04-15,0.9997007673181347
2022-04-16,1.0005900858490775
2022-04-17,0.9988082122356979
2022-04-18,0.9985643982775891
2022-04-19,0.9983040580125576
2022-04-20,1.000075011185556
2022-04-21,0.9982102955941637
2022-04-22,0.9987920543239367
2022-04-23,0.9986550839056977
2022-04-24,0.9993943799713002
2022-04-25,0.9958503494582164
2022-04-26,0.9997439613992369
2022-04-27,0.9992719985154781
2022-04-28,0.9974186188392091
2022-04-29,0.9978979648992478
2022-04-30,1.0005839004619421
2022-05-01,1.000060409582918
